drive_team,drive_description,play_id,quarter,clock,play_type,text,home_score,away_score,start_home_wp,start_away_wp,end_home_wp,end_away_wp,home_delta,away_delta
MIN,"5 plays, 7 yards, 3:49",40177289640,1,15:00,Kickoff,"J.Myers kicks 60 yards from SEA 35 to MIN 5. M.Price to MIN 33 for 28 yards (N.Pritchett, P.O'Connell).",0,0,50.0,50.0,68.07,31.93,18.07,-18.07
MIN,"5 plays, 7 yards, 3:49",40177289663,1,14:52,Rush,(Shotgun) A.Jones up the middle to MIN 37 for 4 yards (E.Jones).,0,0,68.07,31.93,68.37,31.63,0.3,-0.3
MIN,"5 plays, 7 yards, 3:49",40177289685,1,14:11,Pass Reception,(Shotgun) M.Brosmer pass short left to A.Jones pushed ob at MIN 37 for no gain (D.Witherspoon).,0,0,68.37,31.63,69.48,30.52,1.11,-1.11
MIN,"5 plays, 7 yards, 3:49",401772896115,1,13:30,Penalty,"(Shotgun) M.Brosmer sacked at MIN 32 for -5 yards (U.Nwosu).PENALTY on SEA-J.Jobe, Defensive Holding, 5 yards, enforced at MIN 37 - No Play.",0,0,69.48,30.52,66.78,33.22,-2.7,2.7
MIN,"5 plays, 7 yards, 3:49",401772896146,1,13:13,Rush,A.Jones left guard to MIN 43 for 1 yard (L.Williams).,0,0,66.78,33.22,68.23,31.77,1.45,-1.45
MIN,"5 plays, 7 yards, 3:49",401772896168,1,12:32,Pass Reception,(Shotgun) M.Brosmer pass short right to A.Jones pushed ob at MIN 49 for 6 yards (D.Witherspoon; N.Emmanwori).,0,0,68.23,31.77,66.81,33.19,-1.42,1.42
MIN,"5 plays, 7 yards, 3:49",401772896198,1,12:00,Sack,(Shotgun) M.Brosmer sacked at MIN 40 for -9 yards (L.Williams).,0,0,66.81,33.19,71.35,28.65,4.54,-4.54
MIN,"5 plays, 7 yards, 3:49",401772896218,1,11:18,Punt,"R.Wright punts 56 yards to SEA 4, Center-A.DePaola, fair catch by R.Shaheed.",0,0,71.35,28.65,69.31,30.69,-2.04,2.04
MIN,"5 plays, 7 yards, 3:49",401772896238,1,11:11,Official Timeout,Official Timeout at 11:11.,0,0,69.31,30.69,69.29,30.71,-0.02,0.02
SEA,"9 plays, 27 yards, 5:24",401772896245,1,11:11,Rush,(Shotgun) K.Walker right guard to SEA 7 for 3 yards (E.Wilson).,0,0,69.29,30.71,68.27,31.73,-1.02,1.02
SEA,"9 plays, 27 yards, 5:24",401772896267,1,10:49,Pass Reception,"(No Huddle, Shotgun) S.Darnold pass short left to K.Walker to SEA 21 for 14 yards (B.Cashman).",0,0,68.27,31.73,70.99,29.01,2.72,-2.72
SEA,"9 plays, 27 yards, 5:24",401772896292,1,10:03,Penalty,"(Shotgun) K.Walker left guard to SEA 26 for 5 yards (J.Allen).PENALTY on MIN-A.Van Ginkel, Defensive Offside, 5 yards, enforced at SEA 21 - No Play.",0,0,70.99,29.01,71.41,28.59,0.42,-0.42
SEA,"9 plays, 27 yards, 5:24",401772896325,1,9:33,Rush,K.Walker left end to SEA 30 for 4 yards (B.Murphy).,0,0,71.41,28.59,72.52,27.48,1.11,-1.11
SEA,"9 plays, 27 yards, 5:24",401772896347,1,8:49,Pass Incompletion,S.Darnold pass incomplete deep left [D.Turner].,0,0,72.52,27.48,71.38,28.62,-1.14,1.14
SEA,"9 plays, 27 yards, 5:24",401772896370,1,8:41,Rush,Direct snap to A.Barner.  A.Barner up the middle to SEA 32 for 2 yards (J.Allen; J.Redmond).,0,0,71.38,28.62,71.86,28.14,0.48,-0.48
SEA,"9 plays, 27 yards, 5:24",401772896394,1,7:59,Pass Reception,(Shotgun) S.Darnold pass short right to C.Kupp pushed ob at SEA 45 for 13 yards (A.Van Ginkel).,0,0,71.86,28.14,73.16,26.84,1.3,-1.3
SEA,"9 plays, 27 yards, 5:24",401772896424,1,7:32,Pass Incompletion,"(No Huddle, Shotgun) S.Darnold pass incomplete short right to A.Barner.",0,0,73.16,26.84,71.29,28.71,-1.87,1.87
SEA,"9 plays, 27 yards, 5:24",401772896447,1,7:29,Rush,(Shotgun) K.Walker right guard to SEA 44 for -1 yards (E.Wilson).,0,0,71.29,28.71,69.8,30.2,-1.49,1.49
SEA,"9 plays, 27 yards, 5:24",401772896469,1,6:47,Sack,(Shotgun) S.Darnold sacked at SEA 31 for -13 yards (E.Wilson).,0,0,69.8,30.2,66.86,33.14,-2.94,2.94
SEA,"9 plays, 27 yards, 5:24",401772896489,1,5:58,Punt,"M.Dickson punts 56 yards to MIN 13, Center-C.Stoll, downed by SEA-N.Pritchett.",0,0,66.86,33.14,68.74,31.26,1.88,-1.88
SEA,"9 plays, 27 yards, 5:24",401772896509,1,5:47,Official Timeout,Official Timeout at 05:47.,0,0,68.74,31.26,68.71,31.29,-0.03,0.03
MIN,"4 plays, 21 yards, 2:20",401772896516,1,5:47,Pass Reception,M.Brosmer pass short left to A.Jones pushed ob at MIN 26 for 13 yards (E.Jones).,0,0,68.71,31.29,67.15,32.85,-1.56,1.56
MIN,"4 plays, 21 yards, 2:20",401772896546,1,5:07,Rush,A.Jones left guard to MIN 27 for 1 yard (D.Hall; B.Murphy).,0,0,67.15,32.85,68.53,31.47,1.38,-1.38
MIN,"4 plays, 21 yards, 2:20",401772896568,1,4:26,Pass Incompletion,(Shotgun) M.Brosmer pass incomplete short middle to J.Addison.,0,0,68.53,31.47,69.44,30.56,0.91,-0.91
MIN,"4 plays, 21 yards, 2:20",401772896591,1,4:22,Pass Reception,(Shotgun) M.Brosmer pass short right to J.Addison to MIN 34 for 7 yards (D.Witherspoon).,0,0,69.44,30.56,70.78,29.22,1.34,-1.34
MIN,"4 plays, 21 yards, 2:20",401772896616,1,3:38,Punt,"R.Wright punts 60 yards to SEA 6, Center-A.DePaola. R.Shaheed to SEA 14 for 8 yards (T.Felton; B.Richter).",0,0,70.78,29.22,69.02,30.98,-1.76,1.76
MIN,"4 plays, 21 yards, 2:20",401772896642,1,3:27,Official Timeout,Official Timeout at 03:27.,0,0,69.02,30.98,68.86,31.14,-0.16,0.16
SEA,"3 plays, 1 yard, 0:59",401772896649,1,3:27,Rush,K.Walker left tackle pushed ob at SEA 15 for 1 yard (J.Redmond).,0,0,68.86,31.14,67.42,32.58,-1.44,1.44
SEA,"3 plays, 1 yard, 0:59",401772896676,1,2:45,Pass Incompletion,(Shotgun) S.Darnold pass incomplete short middle to C.Kupp.,0,0,67.42,32.58,66.17,33.83,-1.25,1.25
SEA,"3 plays, 1 yard, 0:59",401772896699,1,2:42,Pass Incompletion,(Shotgun) S.Darnold pass incomplete short left.,0,0,66.17,33.83,64.18,35.82,-1.99,1.99
SEA,"3 plays, 1 yard, 0:59",401772896722,1,2:36,Punt,"M.Dickson punts 48 yards to MIN 37, Center-C.Stoll, fair catch by M.Price.PENALTY on MIN-B.Richter, Offensive Holding, 10 yards, enforced at MIN 37.",0,0,64.18,35.82,66.45,33.55,2.27,-2.27
SEA,"3 plays, 1 yard, 0:59",401772896753,1,2:28,Official Timeout,Official Timeout at 02:28.,0,0,66.45,33.55,66.43,33.57,-0.02,0.02
MIN,"3 plays, 2 yards, 1:02",401772896760,1,2:28,Pass Incompletion,M.Brosmer pass incomplete deep right to J.Addison.,0,0,66.43,33.57,68.29,31.71,1.86,-1.86
MIN,"3 plays, 2 yards, 1:02",401772896783,1,2:24,Rush,(Shotgun) J.Mason right guard to MIN 29 for 2 yards (D.Thomas).,0,0,68.29,31.71,68.73,31.27,0.44,-0.44
MIN,"3 plays, 2 yards, 1:02",401772896805,1,1:40,Pass Incompletion,(Shotgun) M.Brosmer pass incomplete short left to J.Addison.,0,0,68.73,31.27,70.81,29.19,2.08,-2.08
MIN,"3 plays, 2 yards, 1:02",401772896828,1,1:36,Punt,"R.Wright punts 55 yards to SEA 16, Center-A.DePaola. R.Shaheed pushed ob at SEA 32 for 16 yards (A.Keys).",0,0,70.81,29.19,70.8,29.2,-0.01,0.01
SEA,"15 plays, 53 yards, 9:16",401772896859,1,1:26,Pass Incompletion,S.Darnold pass incomplete deep right to E.Arroyo (J.Metellus).,0,0,70.8,29.2,68.96,31.04,-1.84,1.84
SEA,"15 plays, 53 yards, 9:16",401772896882,1,1:18,Rush,(Shotgun) K.Walker left guard to SEA 36 for 4 yards (J.Greenard; B.Cashman).,0,0,68.96,31.04,69.13,30.87,0.17,-0.17
SEA,"15 plays, 53 yards, 9:16",401772896904,1,0:37,Pass Reception,(Shotgun) S.Darnold pass short middle to A.Barner to SEA 47 for 11 yards (E.Wilson).,0,0,69.13,30.87,72.4,27.6,3.27,-3.27
SEA,"15 plays, 53 yards, 9:16",401772896929,1,0:00,End Period,END QUARTER 1,0,0,72.4,27.6,72.31,27.69,-0.09,0.09
SEA,"15 plays, 53 yards, 9:16",401772896949,2,15:00,Pass Reception,(Shotgun) S.Darnold pass short middle to C.Kupp to MIN 47 for 6 yards (H.Smith; B.Cashman).,0,0,72.31,27.69,72.78,27.22,0.47,-0.47
SEA,"15 plays, 53 yards, 9:16",401772896974,2,14:18,Fumble Recovery (Own),"(Shotgun) S.Darnold sacked at SEA 45 for -8 yards (D.Turner). FUMBLES (D.Turner) [D.Turner], recovered by SEA-C.Kupp at SEA 46.",0,0,72.78,27.22,68.64,31.36,-4.14,4.14
SEA,"15 plays, 53 yards, 9:16",4017728961004,2,13:24,Pass Reception,(Shotgun) S.Darnold pass short left to C.White to MIN 33 for 21 yards (J.Metellus).,0,0,68.64,31.36,74.63,25.37,5.99,-5.99
SEA,"15 plays, 53 yards, 9:16",4017728961029,2,12:37,Rush,Z.Charbonnet right guard to MIN 26 for 7 yards (E.Wilson; J.Metellus).,0,0,74.63,25.37,76.21,23.79,1.58,-1.58
SEA,"15 plays, 53 yards, 9:16",4017728961051,2,11:55,Rush,Z.Charbonnet right end to MIN 20 for 6 yards (B.Murphy; H.Smith).,0,0,76.21,23.79,76.56,23.44,0.35,-0.35
SEA,"15 plays, 53 yards, 9:16",4017728961073,2,11:11,Rush,K.Walker left guard to MIN 18 for 2 yards (J.Redmond).,0,0,76.56,23.44,75.41,24.59,-1.15,1.15
SEA,"15 plays, 53 yards, 9:16",4017728961095,2,10:29,Pass Reception,(Shotgun) S.Darnold pass short right to C.Kupp pushed ob at MIN 13 for 5 yards (I.Rodgers).,0,0,75.41,24.59,76.95,23.05,1.54,-1.54
SEA,"15 plays, 53 yards, 9:16",4017728961125,2,9:55,Rush,(Shotgun) Z.Charbonnet right guard to MIN 8 for 5 yards (J.Allen; F.Moreau).,0,0,76.95,23.05,77.4,22.6,0.45,-0.45
SEA,"15 plays, 53 yards, 9:16",4017728961147,2,9:14,Rush,J.Jones reported in as eligible.  Z.Charbonnet left tackle to MIN 8 for no gain (D.Turner).,0,0,77.4,22.6,76.47,23.53,-0.93,0.93
SEA,"15 plays, 53 yards, 9:16",4017728961171,2,8:34,Rush,Z.Charbonnet up the middle to MIN 10 for -2 yards (E.Wilson).,0,0,76.47,23.53,73.93,26.07,-2.54,2.54
SEA,"15 plays, 53 yards, 9:16",4017728961193,2,7:54,Sack,(Shotgun) S.Darnold sacked at MIN 15 for -5 yards (A.Van Ginkel).,0,0,73.93,26.07,71.64,28.36,-2.29,2.29
SEA,"15 plays, 53 yards, 9:16",4017728961213,2,7:10,Field Goal Good,"J.Myers 33 yard field goal is GOOD, Center-C.Stoll, Holder-M.Dickson.",3,0,71.64,28.36,72.77,27.23,1.13,-1.13
SEA,"15 plays, 53 yards, 9:16",4017728961233,2,7:10,Official Timeout,Official Timeout at 07:10.,3,0,72.77,27.23,72.77,27.23,0.0,0.0
MIN,"4 plays, 18 yards, 1:44",4017728961240,2,7:10,Kickoff,J.Myers kicks 63 yards from SEA 35 to MIN 2. M.Price pushed ob at MIN 29 for 27 yards (N.Pritchett).,3,0,72.77,27.23,71.97,28.03,-0.8,0.8
MIN,"4 plays, 18 yards, 1:44",4017728961268,2,7:04,Pass Reception,M.Brosmer pass short left to T.Hockenson to MIN 42 for 13 yards (D.Witherspoon).,3,0,71.97,28.03,70.37,29.63,-1.6,1.6
MIN,"4 plays, 18 yards, 1:44",4017728961303,2,6:20,Pass Incompletion,(Shotgun) M.Brosmer pass incomplete short right to J.Jefferson.,3,0,70.37,29.63,72.17,27.83,1.8,-1.8
MIN,"4 plays, 18 yards, 1:44",4017728961326,2,6:14,Pass Reception,(Shotgun) M.Brosmer pass short middle to J.Addison to MIN 47 for 5 yards (T.Woolen).,3,0,72.17,27.83,71.49,28.51,-0.68,0.68
MIN,"4 plays, 18 yards, 1:44",4017728961351,2,5:40,Pass Incompletion,(Shotgun) M.Brosmer pass incomplete deep right to J.Jefferson (N.Emmanwori).,3,0,71.49,28.51,74.75,25.25,3.26,-3.26
MIN,"4 plays, 18 yards, 1:44",4017728961374,2,5:33,Punt,"R.Wright punts 31 yards to SEA 22, Center-A.DePaola, fair catch by R.Shaheed.",3,0,74.75,25.25,75.04,24.96,0.29,-0.29
MIN,"4 plays, 18 yards, 1:44",4017728961394,2,5:26,Official Timeout,Official Timeout at 05:26.,3,0,75.04,24.96,75.02,24.98,-0.02,0.02
SEA,"1 play, -9 yards, 0:05",4017728961401,2,5:26,Sack Opp Fumble Recovery,"S.Darnold sacked at SEA 15 for -7 yards (D.Turner). FUMBLES (D.Turner) [D.Turner], RECOVERED by MIN-J.Redmond at SEA 13.",3,0,75.02,24.98,61.49,38.51,-13.53,13.53
MIN,"4 plays, 9 yards, 2:22",4017728961431,2,5:21,Rush,A.Jones left guard to SEA 12 for 1 yard (E.Jones).,3,0,61.49,38.51,64.17,35.83,2.68,-2.68
MIN,"4 plays, 9 yards, 2:22",4017728961453,2,4:44,Pass Reception,(Shotgun) M.Brosmer pass short right to T.Hockenson to SEA 9 for 3 yards (T.Okada).,3,0,64.17,35.83,64.02,35.98,-0.15,0.15
MIN,"4 plays, 9 yards, 2:22",4017728961478,2,3:58,Pass Reception,(Shotgun) M.Brosmer pass short left to J.Addison pushed ob at SEA 4 for 5 yards (J.Jobe).,3,0,64.02,35.98,68.06,31.94,4.04,-4.04
MIN,"4 plays, 9 yards, 2:22",4017728961508,2,2:59,Interception Return Touchdown,"M.Brosmer pass short right INTERCEPTED by E.Jones [D.Lawrence] at SEA 15. E.Jones for 85 yards, TOUCHDOWN. J.Myers extra point is GOOD, Center-C.Stoll, Holder-M.Dickson.",10,0,68.06,31.94,86.72,13.28,18.66,-18.66
MIN,"4 plays, 9 yards, 2:22",4017728961544,2,2:59,Official Timeout,Official Timeout at 02:59.,10,0,86.72,13.28,88.24,11.76,1.52,-1.52
MIN,"3 plays, -8 yards, 2:01",4017728961551,2,2:59,Kickoff,J.Myers kicks 62 yards from SEA 35 to MIN 3. M.Price to MIN 32 for 29 yards (P.O'Connell).,10,0,88.24,11.76,85.99,14.01,-2.25,2.25
MIN,"3 plays, -8 yards, 2:01",4017728961581,2,2:52,Rush,J.Mason up the middle to MIN 34 for 2 yards (D.Thomas; E.Jones).,10,0,85.99,14.01,86.54,13.46,0.55,-0.55
MIN,"3 plays, -8 yards, 2:01",4017728961603,2,2:19,Penalty,"(Shotgun) PENALTY on MIN-R.Kelly, False Start, 5 yards, enforced at MIN 34 - No Play.",10,0,86.54,13.46,87.62,12.38,1.08,-1.08
MIN,"3 plays, -8 yards, 2:01",4017728961627,2,2:11,Fumble Recovery (Own),"(Shotgun) M.Brosmer pass short right to J.Mason to MIN 25 for -4 yards (B.Mafe). FUMBLES (B.Mafe), and recovers at MIN 28. J.Mason to MIN 30 for 2 yards (B.Murphy).",10,0,87.62,12.38,88.01,11.99,0.39,-0.39
MIN,"3 plays, -8 yards, 2:01",4017728961648,2,2:00,Two-minute warning,Two-Minute Warning,10,0,88.01,11.99,88.02,11.98,0.01,-0.01
MIN,"3 plays, -8 yards, 2:01",4017728961668,2,2:00,Sack,(Shotgun) M.Brosmer sacked at MIN 24 for -6 yards (D.Lawrence).,10,0,88.02,11.98,89.1,10.9,1.08,-1.08
MIN,"3 plays, -8 yards, 2:01",4017728961695,2,1:12,Punt,"R.Wright punts 50 yards to SEA 26, Center-A.DePaola. R.Shaheed pushed ob at SEA 45 for 19 yards (B.Richter).",10,0,89.1,10.9,89.77,10.23,0.67,-0.67
SEA,"7 plays, 17 yards, 0:50",4017728961731,2,0:58,Rush,(Shotgun) Z.Charbonnet left guard to MIN 46 for 9 yards (J.Metellus; H.Smith).,10,0,89.77,10.23,90.98,9.02,1.21,-1.21
SEA,"7 plays, 17 yards, 0:50",4017728961753,2,0:39,Pass Incompletion,"(No Huddle, Shotgun) S.Darnold pass incomplete short left to J.Smith-Njigba.",10,0,90.98,9.02,90.3,9.7,-0.68,0.68
SEA,"7 plays, 17 yards, 0:50",4017728961776,2,0:36,Rush,(Shotgun) Z.Charbonnet right guard to MIN 45 for 1 yard (B.Cashman).,10,0,90.3,9.7,89.9,10.1,-0.4,0.4
SEA,"7 plays, 17 yards, 0:50",4017728961787,2,0:23,Timeout,Timeout #1 by SEA at 00:23.,10,0,89.9,10.1,89.55,10.45,-0.35,0.35
SEA,"7 plays, 17 yards, 0:50",4017728961798,2,0:23,Pass Reception,(Shotgun) S.Darnold pass short right to R.Shaheed pushed ob at MIN 38 for 7 yards (F.Moreau).,10,0,89.55,10.45,90.77,9.23,1.22,-1.22
SEA,"7 plays, 17 yards, 0:50",4017728961835,2,0:19,Pass Incompletion,(Shotgun) S.Darnold pass incomplete short right to R.Shaheed (B.Cashman).,10,0,90.77,9.23,90.22,9.78,-0.55,0.55
SEA,"7 plays, 17 yards, 0:50",4017728961858,2,0:15,Pass Incompletion,(Shotgun) S.Darnold pass incomplete short right to J.Smith-Njigba (H.Smith).,10,0,90.22,9.78,88.5,11.5,-1.72,1.72
SEA,"7 plays, 17 yards, 0:50",4017728961881,2,0:08,Field Goal Good,"J.Myers 56 yard field goal is GOOD, Center-C.Stoll, Holder-M.Dickson.",13,0,88.5,11.5,92.15,7.85,3.65,-3.65
